sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
0,C0_clean,0.3726158186793327,0.3741169139742851,0.3747435212135315,0.8893543005005091,1.0,0.631181001668364,1.0
1,C0_clean,0.37259399592876435,0.37414666414260866,0.3746128976345062,0.8908724556132253,0.9999999403953552,0.6362415981836103,1.0
2,C0_clean,0.3727835029363632,0.3739778965711594,0.37454697489738464,0.8909596114245029,1.0000001192092896,0.6365318791359564,1.0
3,C0_clean,0.37274683117866514,0.3739010363817215,0.37419113516807556,0.8908601585838312,0.9999999403953552,0.6362006080856306,1.0
4,C0_clean,0.3727943807840347,0.37406240701675414,0.37478581070899963,0.8892280045856562,1.0,0.6307600152855204,1.0
5,C0_clean,0.37259850054979327,0.37426327019929884,0.3746769428253174,0.8900465554752468,1.0000001192092896,0.6334883593051032,1.0
6,C0_clean,0.37277134209871293,0.3742737576365471,0.3747466802597046,0.8887789299016722,0.9999999403953552,0.6292631791451002,1.0
7,C0_clean,0.3726350694894791,0.37411842048168187,0.3746142089366913,0.8897293666556054,1.0,0.6324312221853514,1.0
8,C0_clean,0.37252341657876975,0.37413647919893267,0.3746268153190613,0.8891285257790786,1.0000001192092896,0.6304282603178762,1.0
9,C0_clean,0.3727143079042435,0.37416890263557434,0.37461981177330017,0.8906789479996078,1.0,0.6355964933320257,1.0
10,C0_clean,0.37259055227041243,0.3739815846085549,0.37451666593551636,0.8928711509973561,1.0,0.6429038366578538,1.0
11,C0_clean,0.37260018438100817,0.3741722986102104,0.3745376467704773,0.8896338360974425,1.0,0.6321127869914751,1.0
12,C0_clean,0.37265882045030596,0.37411872595548634,0.3746052384376526,0.8910087765810966,1.0,0.6366959219369884,1.0
13,C0_clean,0.3725599601864815,0.3741598829627037,0.37462759017944336,0.8909489811190303,1.0,0.6364966037301011,1.0
14,C0_clean,0.37274184823036194,0.37424637377262115,0.3747117221355438,0.892083641406002,1.0,0.6402788046866732,1.0
15,C0_clean,0.3726296380162239,0.3744474276900292,0.37504351139068604,0.8889366192065449,0.9999999403953552,0.6297888101613427,1.0
16,C0_clean,0.3727438226342201,0.3741000667214393,0.3745669722557068,0.8914355832993508,1.0,0.6381186109978362,1.0
17,C0_clean,0.3727235436439514,0.37391057014465334,0.3745270073413849,0.890849200924104,1.0,0.6361640030803467,1.0
18,C0_clean,0.3726218089461327,0.37384459823369987,0.3744707703590393,0.8901572203587642,0.9999999403953552,0.6338574806687406,1.0
19,C0_clean,0.372740726172924,0.3741062209010124,0.3747228980064392,0.8909273667245641,1.0000001192092896,0.6364243968028276,1.0
0,C8_opus16,0.3726869210600853,0.3742578998208046,0.37287187576293945,0.8251734557284267,0.8372269868850708,0.6343466389620808,0.9999288976192474
1,C8_opus16,0.3726838886737823,0.37400272190570827,0.3722779452800751,0.8281345082779783,0.8453725576400757,0.6333748434848445,0.9999101072549821
2,C8_opus16,0.37272769510746007,0.37407012581825255,0.3727567791938782,0.8194280463010555,0.8221690058708191,0.6352572876713293,0.9999441921710969
3,C8_opus16,0.3726826459169388,0.37399153411388397,0.37290826439857483,0.8391183999742955,0.8693748712539673,0.6379590235040881,0.9999358147382736
