sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
0,C0_clean,0.5438255369663239,0.5399952173233032,0.5380584001541138,0.8918345666480831,1.0,0.6394485554936107,1.0
1,C0_clean,0.5432493418455123,0.5395824879407882,0.5377554297447205,0.8889414152757598,1.0000001192092896,0.6298045586401465,1.0
2,C0_clean,0.5435045331716538,0.5402730077505111,0.5395632386207581,0.8911655505649716,1.0,0.6372185018832383,1.0
3,C0_clean,0.5436283141374588,0.5401525467634201,0.5394816994667053,0.8895148169879941,1.0,0.631716056626647,1.0
4,C0_clean,0.54339260160923,0.5394146591424942,0.5379495024681091,0.8893599880147895,1.0000001192092896,0.631199801103579,1.0
5,C0_clean,0.543381205201149,0.5401130348443985,0.539497435092926,0.8915055666364933,1.0,0.638351888788311,1.0
6,C0_clean,0.5431582212448121,0.539371532201767,0.5375158786773682,0.8885482817140395,1.0,0.6284942723801318,1.0
7,C0_clean,0.543115085363388,0.5389436483383179,0.538071870803833,0.8912806046604138,1.0000001192092896,0.6376018565889933,1.0
8,C0_clean,0.5433252990245819,0.5400148451328278,0.5392069816589355,0.8911546303914075,0.9999999403953552,0.6371821807775513,1.0
9,C0_clean,0.5440777271986008,0.5399534493684769,0.5392850041389465,0.8918997290666275,1.0,0.6396657635554251,1.0
10,C0_clean,0.5433335483074189,0.5401434361934662,0.5395059585571289,0.8894820886331867,1.0,0.631606962110622,1.0
11,C0_clean,0.5437488496303559,0.5394877016544342,0.5375711917877197,0.8911508591011392,1.0,0.6371695303371306,1.0
12,C0_clean,0.5435211181640626,0.5391104102134704,0.5378713607788086,0.8897782921760369,1.0,0.6325943072534564,1.0
13,C0_clean,0.5438494324684143,0.5399169802665711,0.5379176139831543,0.888551474081279,1.0,0.6285049136042634,1.0
14,C0_clean,0.543582209944725,0.5387837380170821,0.537991464138031,0.8904987353254685,1.0000001192092896,0.6349956254725089,1.0
15,C0_clean,0.5432579576969148,0.5400505125522613,0.5393060445785522,0.8901990783577192,1.0000001192092896,0.6339967689133447,1.0
16,C0_clean,0.5437853932380676,0.539852625131607,0.5391445159912109,0.8915912050236972,1.0,0.6386373500789907,1.0
17,C0_clean,0.5435801923274993,0.5400492310523987,0.5394339561462402,0.8924498135597045,1.0,0.6414993785323484,1.0
18,C0_clean,0.5436024367809296,0.5404600143432616,0.5397119522094727,0.8902043452570234,0.9999999403953552,0.6340145636629376,1.0
19,C0_clean,0.5437830477952957,0.5398535102605819,0.5381256937980652,0.8899758057081026,1.0,0.6332526856936752,1.0
0,C8_opus16,0.5433403730392456,0.5400472342967987,0.5404642224311829,0.8548023302077106,0.8991866111755371,0.6509107830520643,0.9995148360729218
1,C8_opus16,0.5442063480615615,0.5394432157278061,0.5418288111686707,0.845984177557422,0.8844408392906189,0.6416498123532974,0.9990429937839508
2,C8_opus16,0.5439914256334305,0.540282079577446,0.5401805639266968,0.8558158169649117,0.9095279574394226,0.6405023390922524,0.9995131075382233
3,C8_opus16,0.5434326857328415,0.5401783913373946,0.541864275932312,0.8526574610347096,0.8989993333816528,0.6437213873447788,0.9998043715953827
4,C8_opus16,0.5433973342180252,0.5397506922483445,0.5404629111289978,0.8463634999279277,0.8883326649665833,0.6367728457464428,0.9999952673912048
5,C8_opus16,0.5432302445173263,0.5401922672986984,0.5401917099952698,0.8544775275238752,0.9004276990890503,0.6478391203113397,0.9998490393161773
6,C8_opus16,0.5437940001487732,0.5390424013137818,0.5419195890426636,0.8504566508240557,0.8942043781280518,0.6432187774800779,0.9993642210960388
7,C8_opus16,0.5437334179878235,0.539048159122467,0.5405753254890442,0.8539918394397623,0.8928501605987549,0.6567909166253033,0.9993816673755646
8,C8_opus16,0.5435572683811188,0.5398796439170838,0.5404212474822998,0.8542639887805218,0.9026998281478882,0.6441788277610918,0.9997680306434631
9,C8_opus16,0.543364354968071,0.5400525003671646,0.5418133735656738,0.8451297445211089,0.8783401250839233,0.6466923538556615,0.9992866277694702
10,C8_opus16,0.5435957133769989,0.5402598679065704,0.5417981147766113,0.8478671089942562,0.8856606483459473,0.6456049972558376,0.99973783493042
